source,metric,human_n,human_mean,human_std,machine_n,machine_mean,machine_std,difference,abs_difference,u_statistic,u_p_value,cohens_d,effect_size,significant_005,significant_001,characteristic_of
fakebr,dictionary_coverage,10,71.18464754195399,6.5385628388300585,10,68.58277623358097,2.176456365684628,2.6018713083730205,2.6018713083730205,64.0,0.3074894566186813,0.5339502493149223,medium,False,False,human
fakebr,money (Money),10,1.1576987060469108,1.120580901706242,10,1.7479814671657514,1.1286903861699873,-0.5902827611188406,0.5902827611188406,35.0,0.2723141220596529,-0.5248623657431472,medium,False,False,machine
fakebr,leisure (Leisure),10,1.0970154931219163,1.495285417288213,10,0.5040132441489782,0.5972858272927031,0.5930022489729381,0.5930022489729381,57.0,0.6156417277942268,0.5208362034349001,medium,False,False,human
fakebr,differ (Differentiation),10,2.3050906062155816,1.1503371769982718,10,1.7983231598369962,0.7882771371812454,0.5067674463785854,0.5067674463785854,59.0,0.5205228832757727,0.5139279776843853,medium,False,False,human
fakebr,male (Male),10,1.6216703048443957,2.0594365998833526,10,0.9012177336340341,0.4990106578289184,0.7204525712103615,0.7204525712103615,49.0,0.9698045577720108,0.4808207065237798,small,False,False,human
fakebr,swear (Swear),10,0.0,0.0,10,0.02044989775051125,0.06134969325153374,-0.02044989775051125,0.02044989775051125,45.0,0.36812025069351895,-0.47140452079103173,small,False,False,machine
fakebr,sexual (Sexual),10,0.0,0.0,10,0.06134969325153374,0.18404907975460125,-0.06134969325153374,0.06134969325153374,45.0,0.36812025069351895,-0.47140452079103157,small,False,False,machine
fakebr,hear (Hear),10,0.5699571015840375,0.8747810154382484,10,0.25899249349686676,0.33731315653393873,0.3109646080871707,0.3109646080871707,56.5,0.6279508716038853,0.4690575072113695,small,False,False,human
fakebr,female (Female),10,0.46244182834418207,0.5854520009040026,10,0.30011631169213554,0.13363238381185039,0.16232551665204653,0.16232551665204653,48.5,0.9389357050565416,0.3822802923850585,small,False,False,human
fakebr,friend (Friends),10,0.711246456670111,0.6670750260425926,10,0.5030239877674985,0.4423700641674155,0.20822246890261253,0.20822246890261253,54.0,0.7886018451717189,0.36789330338480636,small,False,False,human
fakebr,reward (Reward),10,2.2738036895543337,0.8435251188084336,10,2.5817663814402145,0.8606970017271822,-0.3079626918858809,0.3079626918858809,41.0,0.5205228832757727,-0.36139310249927037,small,False,False,machine
fakebr,focuspresent (Present Focus),10,5.67265069851526,1.8331899649061572,10,5.102513225103364,1.3821222920867229,0.5701374734118962,0.5701374734118962,63.0,0.3447042220069576,0.3511998809519356,small,False,False,human
fakebr,certain (Certainty),10,0.8464398649580754,0.6534497965788895,10,1.0393088819635297,0.4260029255255588,-0.19286901700545422,0.19286901700545422,43.0,0.622652636570054,-0.34966812846400275,small,False,False,machine
fakebr,see (See),10,0.9869146986885557,1.3740933020305666,10,0.6358121107755424,0.5220710801414485,0.3511025879130133,0.3511025879130133,45.0,0.7281677610833472,0.33779462562825274,small,False,False,human
fakebr,ingest (Ingest),10,0.5754578787833811,0.44900231974927857,10,0.4358319331134246,0.37529959792597306,0.13962594566995645,0.13962594566995645,58.0,0.567824663393034,0.3374276904724616,small,False,False,human
fakebr,relig (Religion),10,0.05357142857142857,0.16071428571428573,10,0.10506301743313458,0.18369466252073366,-0.05149158886170601,0.05149158886170601,40.5,0.33046445910149613,-0.2983508265693289,small,False,False,machine
